0.5,79,81
0.25,81,85
0.25,85,93
0.25,93,95
0.25,81,86
0.25,86,95
0.5,95,108
0.5,108,119
0.25,119,127
0.25,127,128
0.25,128,120
0.25,119,109
0.25,109,120
0.5,120,129
0.5,79,82
0.25,82,87
0.25,87,97
0.25,97,99
0.25,82,88
0.25,88,99
0.5,99,112
0.5,112,121
0.25,121,130
0.25,130,131
0.25,131,122
0.25,121,110
0.25,110,122
0.5,122,129
1,129,139
1,139,147
1,147,65
1,65,59
1,59,53
0.5,53,47
0.25,47,45
0.25,45,41
0.25,41,39
0.25,47,42
0.25,42,39
0.5,39,38
0.5,38,40
0.25,40,43
0.25,43,49
0.25,49,51
0.25,40,44
0.25,44,51
0.5,51,57
0.5,53,58
0.25,58,64
0.25,64,69
0.25,69,62
0.25,58,55
0.25,55,62
0.5,62,68
0.5,68,61
0.25,61,67
0.25,67,66
0.25,66,60
0.25,61,54
0.25,54,60
0.5,60,57
1,57,63
1,63,70
1,70,37
1,37,36
1,36,16
0.5,16,14
0.25,14,12
0.25,12,10
0.25,10,9
0.25,14,11
0.25,11,9
0.5,9,8
0.5,8,4
0.25,4,3
0.25,3,2
0.25,2,1
0.25,4,5
0.25,5,1
0.5,1,32
0.5,16,17
0.25,17,18
0.25,18,20
0.25,20,22
0.25,17,19
0.25,19,22
0.5,22,24
0.5,24,25
0.25,25,26
0.25,26,28
0.25,28,30
0.25,25,27
0.25,27,30
0.5,30,32
1,32,34
1,34,35
1,35,222
1,222,219
1,219,214
0.5,214,209
0.25,209,213
0.25,213,212
0.25,212,208
0.25,209,204
0.25,204,208
0.5,208,203
0.5,203,197
0.25,197,195
0.25,195,191
0.25,191,189
0.25,197,192
0.25,192,189
0.5,189,188
0.5,214,210
0.25,210,215
0.25,215,216
0.25,216,211
0.25,210,205
0.25,205,211
0.5,211,206
0.5,206,199
0.25,199,200
0.25,200,194
0.25,194,190
0.25,199,193
0.25,193,190
0.5,190,188
1,188,187
1,187,186
1,186,185
1,185,182
1,182,177
0.5,177,172
0.25,172,176
0.25,176,175
0.25,175,171
0.25,172,167
0.25,167,171
0.5,171,166
0.5,166,160
0.25,160,158
0.25,158,154
0.25,154,152
0.25,160,155
0.25,155,152
0.5,152,151
0.5,177,173
0.25,173,178
0.25,178,179
0.25,179,174
0.25,173,168
0.25,168,174
0.5,174,169
0.5,169,162
0.25,162,163
0.25,163,157
0.25,157,153
0.25,162,156
0.25,156,153
0.5,153,151
1,151,150
1,150,149
1,149,148
1,148,144
1,144,134
0.5,134,124
0.25,124,133
0.25,133,132
0.25,132,123
0.25,124,114
0.25,114,123
0.5,123,113
0.5,113,100
0.25,100,102
0.25,102,90
0.25,90,83
0.25,100,89
0.25,89,83
0.5,83,80
0.5,134,125
0.25,125,135
0.25,135,136
0.25,136,126
0.25,125,115
0.25,115,126
0.5,126,117
0.5,117,104
0.25,104,105
0.25,105,92
0.25,92,84
0.25,104,91
0.25,91,84
0.5,84,80
1,80,78
1,78,76
1,76,75
1,75,77
1,77,79
